english,german,correct,wrong
"companionship","Gesellschaft",0,0
"gamut","Skala",0,0
"witness","erleben/bezeugen",0,0
"invasive","aufdringlich",0,0
"intrude","einmischen",0,0
"hostility","Feindseligkeit",0,0
"hostile","feindselig",0,0
"divulge","preisgeben, ausplaudern",0,1
"to build a rapport","ein gutes Verhältnis aufbauen",0,0
"emperor","Herrscher",0,0
"scent","Duft",0,0
"peninsula","Halbinsel",0,0
"petals","Blütenblätter",0,0
"soaked","einweichen",0,0
"ingest","(Nahrung) aufnehmen",1,0
"purify","reinigen",0,0
"fragrance","Duft, Aroma",0,0
"inhaling","einatmen, inhalieren",0,0
"cinnamon","Zimt",0,0
"soar","aufsteigen",0,0
"glove","Handschuhe",0,0
"putrid","verfault",0,0
"withdraw","zurückziehen",0,0
"retaliate","vergelten",0,0
"mayhem","Chaos",0,0
"sow","säen",0,0
"lull","Pause",0,0
"meddle","einmischen",0,0
"theft","Diebstahl",0,0
"embassy","Botschaft",0,0
"sue","verklagen",0,0
"in court","vor Gericht",0,0
"lawsuit","Klage",0,0
"divert","umleiten",0,0
"disclose","enthüllen, bekannt geben",1,0
"off guard","unvorbereitet",1,0
"intercept","abhören",0,0
"indictment","Anklage",0,0
"aggravate","erschweren 2) reizen",0,1
"concoction","Gebräu",0,0
"prolific","produktiv",0,0
"voraciously","unersättlich",0,0
"attentive","aufmerksam",0,1
"polyglot","mehrsprachig",0,0
"quotidian","alltäglich",0,0
"staid","gesetzt",0,0
"romp","tummeln",0,0
"precocious","frühreif",0,0
"rarefied","exklusiv",0,0
"undertow","sog",0,0
"explicable","erklärbar",0,0
"ballot","Abstimmung, Wahl",0,0
"beg","betteln",0,0
"draft","Entwurf",0,0
"bill","Rechnung 2) Gesetzesentwurf",0,0
"unveil","vorstellen, enthüllen",0,0
"veil","Schleier",0,0
"intoxication","Rausch",0,0
"moisture","Feuchtigkeit, Nässe",0,0
"precipitation","Niederschlag",0,0
"brace","stützen, stärken",0,0
"sleet","Schneeregen",0,0
"commute","pendeln",0,0
"shelter","Obdach, Zuflucht, beschützen",0,0
"waive","erlassen",0,0
"prolong","verlängern",1,0
"feud","Streit",0,0
"obligate","verpflichten",0,0
"to owe","schulden, schuldig sein",0,0
"depts","Schulden",0,0
"desperate","verzweifelt, krampfhaft",0,0
"efficacy","Zweckmäßigkeit",0,0
"concede","eingestehen",0,0
"scrap","verschrotten, ausrangieren",0,0
"treatment","(ärztliche) Behandlung",0,0
"donor","Spender",0,0
"purport","vorgeben, behaupten",0,0
"rigorous","gründlich, streng",0,0
"deficiency","Defizit",1,0
"duty","Pflicht",0,0
"beholden","verpflichtet",0,1
"discern","erkennen, wahrnehmen",0,0
"discernable","erkennbar, wahrnehmbar",0,0
"perspiration","Schwitzen",0,0
"preliminary","vorläufig",0,0
"peril","Gefahr, Risiko",0,0
"perilously","gefährlich",0,0
"imperil","gefährden",0,0
"collar","Halsband",1,0
"scrutinize","prüfen",0,0
"ponder","überlegen, erwägen (esp. before making a decision)",0,0
"census","Volkszählung",0,0
"eradicate","ausrotten",0,0
"officials","Beamte",0,0
"credible","glaubwürdig",0,0
"reluctance","Abneigung",0,0
"reluctant","unwillig",0,0
"denial","Leugnung, Ablehnung",0,0
"deputy","Stellvertreter",0,0
"depute","delegieren, übertragen",0,0
"notoriety","schlechter Ruf",0,0
"notorious","verrufen",0,0
"hazard","Risiko, Gefahr",0,0
"inconsiderate","rücksichtslos",0,0
"harvest","ernten",0,0
"testimony","Aussage",0,0
"misgivings","Bedenken",0,0
"illicit","unerlaubt, illegal",0,0
"shenanigan","Spielerei",0,0
"behest","Geheiß, Bestellung",0,0
"rural","ländlich",0,0
"linger","verweilen",0,0
"smug","selbstgefällig, selbstzufrieden",0,0
"neglect","vernachlässigen",0,0
"parcel","Paket",0,0
"vacant","unbesetzt (unbesetztes Grundstück -> vacant lot)",0,0
"rent","Miete",0,0
"huddle","Haufen, zusammendrängen",0,0
"miscarriage","Fehlgeburt",0,0
"engulf","überschüttet, verschlingen",0,0
"shortage","Mangel",0,0
"crackdown","hart durchgreifen",0,0
"obliterate","auslöschen",0,0
"hitchhike","trampen",0,0
"treacherous","tückisch, verräterisch",0,0
"treacher","Verräter",0,0
"infant","Säugling",0,0
"sprawling","erstrecken, weitläufig",0,0
"outskirts","Stadtrand",0,0
"to file past","vorbeiziehen",0,0
"laceration","Schnittwunde",0,0
"blister","Blase (skin)",0,0
"blanket","Decke",0,0
"makeshift","Not-, improvisiert, behelfsmäßig",0,0
"bedding","Bettwäsche",0,0
"cave in","einstürzen",0,0
"spur","anspornen",0,0
"vast","riesig",0,0
"summit","Gipfel",0,0
"pasture","Weideland",0,0
"creek","Bach",0,0
"sprain","Verstauchung, verstauchen",0,0
"tantamount","gleichbedeutend",0,0
"infuriating","äußerst ärgerlich",0,0
"to infuriate","wütend machen",0,0
"madden","verrückt machen",0,0
"gild","vergolden",0,0
"emanate","ausgehen, ausströmen",0,0
"pal","Kumpel",0,0
"sizzle","brutzeln",0,0
"hissle","zischen",0,0
"contend","sich für etwas einsetzen",0,0
"contender","Anwärter",1,0
"surmount","überwinden 2.) krönen",0,0
"guardrail","Leitplanke",0,0
"ardent","leidenschaftlich",0,1
"wield","1 hantieren (Waffe, Werkzeug) 2 Einfluss ausüben",0,0
"tempting","verlockend",0,0
"filthy","schmutzig",0,0
"filth","Unrat, Schmutz",0,0
"rig","Ausrüstung 2) manipulieren",0,0
"spinal","Rückenmark",0,0
"spine","Rückgrat",0,0
"debilitating","schwächend",0,0
"ungodly","gottlos",0,0
"rife","weit verbreitet (etwas schlechtes, schädliches)",0,0
"grant","gewähren",0,0
"incentivize","Anreiz schaffen",0,0
"incentive","Anreiz",0,0
"deprive","vorenthalten, ausschließen",0,0
"dearly","teuer, inniglich",0,0
"reap","ernten",0,0
"fee","Honorar, Entgelt",1,0
"inquiry","Anfrage",0,0
"surge","Woge",0,0
"surgery","Chirurgie",1,0
"guilt","Schuld",0,0
"enrollment","Anmeldung, Einschreibung, Immatrikulation",0,0
"xenophobia","Fremdenfeindlichkeit",0,0
"prescribe","vorschreiben, anordnen",0,0
"panaceas","Allheilmittel",0,0
"underpin","untermauern",0,0
"malady","Krankheit",0,0
"ailment","Leiden, Beschweren",0,1
"endeavor","Bemühung, bemühen",0,0
"decree","Dekret, Verordnung",0,0
"compulsory","verpflichtend",0,1
"outright","geradewegs, völlig",0,0
"heretic","Ketzer",0,0
"deem","erachten",0,0
"dare","wagen, sich trauen",0,0
"wry sense of humor","trockener Humor",1,0
"rapacious","habgierig",0,0
"trove","Fund",0,0
"bashful","schüchtern",0,0
"unprecedented","beispiellos",0,0
"ranch","Viehfarm",0,0
"cattle","das Vieh",0,0
"underlain (underlie)","unterlegen, zugrunde liegen",0,0
"irrigation","Bewässerung",0,0
"irrigate","bewässern",0,0
"tap","zapfen, Hahn",0,0
"cotton","Baumwolle",0,1
"grain","Korn",0,0
"replenish","auffüllen",0,0
"water table","Grundwasserspiegel",0,0
"necessitate","erforderlich machen",0,0
"pale","blass, verblassen",0,0
"pond","Teich",0,0
"hollow","hohl, aushöhlern, Hohlraum, Mulde, Vertiefung",0,0
"crop","Ernte",0,0
"resilient","belastbar",0,0
"recoil","Rückstoß, zurückschrecken",0,0
"temperate","gemäßigt",0,0
"vacate","räumen, freimachen",0,0
"inhibit","hemmen",0,0
"deride","verspotten",0,0
"contention","Streit",0,0
"chide","schelten",0,1
"jeopardy","Gefahr",0,0
"rebuke","tadeln, zurechtweisen",0,0
"bust","Busen 2) pleite 3) kaputtgehen",0,0
"venture","wagen, Wagnis",0,0
"prevalent","vorherrschend",0,0
"prevail","vorherrschen",0,0
"perish","umkommen, zugrunde gehen",0,0
"deer","Hirsch",0,0
"marsh","Sumpf",0,1
"meadow","Wiese, Weide",0,1
"shrub","Strauch",0,0
"herb","Kraut",0,1
"dormancy","Ruhezustand",0,0
"dormant","ruhend, schlafend",0,0
"hibernate","überwintern, Winterschlaf halten",0,0
"fodder","Futter",1,0
"bemoan","beklagen",0,0
"game","Wild, Spiel",0,0
"picturesque","malerisch",0,0
"bode","ahnen lassen",0,0
"plight","Notlage, Elend",0,0
"encroach","eingreifen",0,0
"fate","Schicksal",0,0
"logging","Holzfällen",0,0
"nutritive","nahrhaft",0,0
"nutrient","Nährstoff",0,0
"bead","Perlen",0,0
"carve","schnitzen",0,0
"crude","grob, primitiv 2) roh",0,0
"confine","beschränken",0,0
"fertility","Fruchtbarkeit",1,0
"fertile","fruchtbar",0,0
"deposit","Ablagerung, ablagern",0,0
"bury","begraben, beerdigen",0,0
"dismantle","abbauen, demontieren",0,0
"fertilize","düngen",0,0
"deteriorate","sich verschlechtern",0,0
"it was not until","Erst als",0,0
"greenhouse","Gewächshaus, Treibhaus",0,0
"stance","Haltung, Einstellung",0,0
"impede","behindern, erschweren",0,1
"bear","hervorbringen",0,0
"uphold","wahren, aufrechterhalten",0,0
"transboundary","grenzüberschreitend",0,0
"hatch","Luke 2) ausschlüpfen",0,0
"indolence","Trägheit, Faulheit",0,0
"daunting","entmutigend",0,0
"far-fetched","weit hergeholt",0,0
"take office","Amt übernehmen",0,0
"rever","verehren",0,0
"magnify","vergrößern (Lupe)",0,0
"magnifying glass","Lupe",0,0
"riot","randalieren, Aufstand, Krawall",0,0
"uprising","Aufstand",0,0
"detain","in Haft behalten",0,0
"detention","Haft",0,0
"imprison,","einsperren, inhaftieren",0,0
"custody","Haft, Gewahrsam",0,0
"commemorate","gedenken",0,0
"solemn","feierlich",0,0
"vow","Gelübde, Versprechen",0,0
"content","Inhalt 2) zufrieden, zufrieden stellen",0,0
"discontent","Unzufriedenheit, unzufrieden",0,0
"contentment","Zufriedenheit",0,0
"discontentment","Unzufriedenheit",0,0
"vigilant","wachsam",0,1
"vortex","Wirbel, Strudel",1,0
"rein","Zügel",0,0
"to rein in","in Schranken halten",0,0
"confide","vertrauen, anvertrauen",0,0
"ply","Schicht",0,0
"benevolent","wohlwollend, gütig",0,0
"convene","einberufen, versammeln",0,0
"tenacious","zäh, hartnäckig",0,0
"cling","festhalten, sich festklammern",0,0
"revolt","Aufstand, Revolte, Rebellion",0,0
"verve","Elan, Begeisterung",0,0
"pedestal","Sockel, Podest",0,0
"indigenous","einheimisch",0,0
"obstruct","behindern, blockieren",0,0
"repel","abwehren, zurückschlagen, zurückweisen",0,0
"allege","behaupten, unterstellen",0,1
"alleged","angeblich",0,1
"annuity","Jahresrente",0,1
"pension","Rente",0,0
"scribble","kritzeln, krakeln",0,0
"recede","zurücktreten, zurückgehen",0,0
"revolve","sich drehen, kreisen",0,0
"impose","verhängen, auferlegen",0,0
"subsidiary","untergeordnet, Tochtergesellschaft",0,0
"estate","Immobilien, Anwesen",0,0
"commodity","Ware, Rohstoff",0,0
"behalf","im namen",0,0
"mutual","gegenseitig, gemeinsam",0,0
"mutuality","Gegenseitigkeit",0,0
"incline","neigen, Neigung",0,0
"levy","(Steuern) erheben, Steuererhebung",0,0
"labor","Arbeit",1,0
"labor market","Arbeitsmarkt",0,0
"occupation","Besetzung, Beruf, Tätigkeit",0,0
"pervasive","allgegenwärtig",0,0
"compassion","Barmherzigkeit, Mitgefühl",0,0
"pity","Mitleid, bemitleiden, bedauern",0,1
"pitiful","erbärmlich, bemitleidensewrt",0,0
"sorrow","Trauer",0,0
"trait","Merkmal, Eigenschaft, Charakterzug",0,0
"mayor","Bürgermeister",0,0
"bribe","bestechen, Bestechung",0,0
"inducement","Anreiz",0,0
"expose","entlarven, aufdecken",0,0
"to be exposed to","ausgesetzt sein",0,0
"excel","übertreffen, hervorragend sein, sich selbst übertreffen",0,0
"rebut","widerlegen",0,0
"elaborate","erarbeiten; ausführlich, ausgeklügelt, umfangreich",0,0
"ravage","verwüsten",0,0
"debris","Trümmer",1,0
"coroner","Gerichtsmediziner",0,0
"consolidate","konsolidieren, festigen",0,0
"fierce","heftig, bösartig",0,0
"outpouring","Erguss",0,0
"pile","Stapel, Haufen",0,0
"relief","Linderung, Hilfe",0,0
"influx","Zustrom, Zuzug",0,0
"salvage","Bergung, bergen, retten",0,0
"charity","wohltätige Einrichtung, Nächstenliebe",0,0
"loan","Darlehen, leihen",0,0
"restitution","Rückerstattung, Entschädigung",0,0
"cease","aufhören, einstellen, beenden",0,0
"equity","Gerechtigkeit, Eigenkapital",0,0
"deduction","Abzug, Abrechnung",0,0
"deduct","abziehen",0,0
"deduce","ableiten, folgern",0,0
"mortgage","Hypothek",0,0
"earmark","kennzeichnen",0,0
"plaintiff","Kläger (Gericht)",0,0
"touchy","empfindlich",0,0
"irritable","reizbar",0,0
"skimp","knausern, sparen",0,0
"opt (for)","sich für etwas entscheiden",0,0
"deplete","aufbrauchen, ausbeuten",1,0
"insulation","Isolierung",0,0
"camouflage","tarnen",0,0
"emerge","entstehen",0,0
"parrot","Papagei",0,0
"semen","Samen, Sperma",0,0
"endemic","einheimisch",0,0
"tote","schleppen, tragen, bei sich haben",0,0
"brink","Rand (des Abgrunds)",0,0
"oddity","Kuriosität, Eigenartigkeit",0,0
"waddle","watscheln",0,0
"beak","Schnabel",0,0
"comical","komisch, drollig, ulkig, putzig",0,0
"to mate","paaren",0,0
"stoat","Wiesel",0,0
"devour","verschlingen",0,0
"conservation","Naturschutz",0,0
"vigorously","energisch",0,0
"captivity","Gefangenschaft",0,0
"to rear","aufziehen, großziehen",0,0
"affectionately","liebevoll",0,2
"affection","Zuneigung",0,2
"fond","lieb",0,0
"cavity","Hohlraum",0,0
"eager","eifrig, sehnsüchtig",0,0
"grocery store","Lebensmittelgeschäft",0,0
"boar","Wildschwein, Eber",0,0
"tusk","Stoßzahn",0,0
"foster","pflegen, hegen, fördern, unterstützen",0,0
"evaporate","verdampfen",0,0
"shed","Schuppen, verlieren, abwerfen",0,0
"portrude","vorstehen, herausragen",0,0
"hurl","schleudern",0,0
"deliberate","bewusst, absichtlich 2) beraten, überlegen",0,0
"unfounded","unbegründet, grundlos, unfundiert",0,0
"rival","Rivale, Konkurrent, konkurrieren",0,0
"obey","gehorchen, befolgen",0,0
"deceive","täuschen, betrügen, hintergehen",0,0
"bride","Braut",0,0
"shelling","Beschuss",0,0
"drown","ertrinken",0,0
"rehearsal","Probe",0,0
"divine","göttlich",0,0
"digress","(vom Thema) abschweifen",0,0
"recount","erzählen, wiedergeben",0,0
"due","fällig, schuldig",0,0
"dues","Gebühren",0,0
"overdue","überfällig",1,0
"taut","straff, gespannt",0,0
"deteriorate","sich verschlechtern",0,0
"antecedent","Vorläufer, früher, vorangehend",0,1
"fibrous","faserig",0,0
"profuse","reichlich, üppig",0,0
"exuberant","überschwänglich, lebendig, übersprudelnd",0,0
"exuberantly happy","überglücklich",0,0
"giddily","schwindelig, Schwindel erregend",0,0
"percolate","versickern",0,0
"leach","filtern",0,0
